referenceID,reference_source,authors,year,title,source,vol,first_page,last_page,num_sites,num_manips,composition,analysis,result,other_general_results,main metrics,replicates
Amalin2001,"Google scholar: spider, community, experiment","Divina M. Amalin, Jorge E. Pena, Robert McSorley, Harold W. Browning, Jonathan H. Crane",2001,Comparison of different sampling methods and effect of pesticide application on spider populations in lime orchards in south Florida,Environmental Entomology,30,1021,1027,5,1,Y,Simpson Diversity,greater diversity in unmanipulated orchards (web & hunting),"S, N, guild and family","S, N, number guilds, number familes",
Bobo2006,"Google scholar: butterfly, burn*, community","K. Serge Bobo, Matthias Waltert, Heleen Fermon, John Njokagbor, Michael Muhlenberg",2006,From forest to farmland: butterfly diversity and habitat associations along a gradient of forest conversion in Southwestern Cameroon,Journal of Insect Conservation,10,29,42,4,3,Y,Sorenson Index and 2-dimensional ordination (MDS),sites significantly different. Habitat specialization by fruit-feeding butterflies,S differed among sites,"composition, S",
Cano2010,"Google scholar: lizard, burn, community","Paula D. Cano, Gerardo C. Leynaud",2009,Effects of fire and cattle grazing on amphibians and lizards in northeastern Argentina (Humid Chaco),European Journal of Wildlife Research,56,411,420,4,2,Y,"Sorensons Similarity, Shannon Diversity",Composition of amphibians and lizards were significantly different among most pairs of sites,,"S, N, relative abundance, Shannon Diversity",
Cleary2004,"Google scholar: butterfly, burn*, community","Daniel F. R. Cleary, Arne O. Mooers, Karl A. O. Eichhorn, Jan van Tol, Rienk de Jong, Steph B. J. Menken",2004,"Diversity and community composition of butterflies and odonates in an ENSO-induced fire affected habitat mosaic: a case study from East Kalimantan, Indonesia",Oikos,105,426,446,12,5,Y,MDS,"Species clustered according to habitat type, significant differences between sites.",,"S, evenness, community similarity",
Dickson1983,"Google scholar: bird, experiment, communit*","James G. Dickson, Richard N. Conner, J. Howard Williamson",1983,Snag retention increases bird use of a clear-cut,The Journal of Wildlife Management,47,799,804,2,1,Y,Shannon Diversity,p<0.01,"S, N, evenness and diversity were all greater in snag vs. snagless plots. Lose cavity-nesters in snagless plots.","S, N, evenness, Shannon Diversity",
Dritschilo1982,"Google scholar: carabid*, community, experiment","William Dritschilo, Terry L. Erwin",1982,Responses in abundance and diversity of cornfiled carabid communities to differences in farm practices,Ecology,63,900,904,10,3,N,N,N,,"S, N, Shannon-Weiner Diversity, Species abundance distribution (alpha, Dominance (D) and Simpson-Yule index",
Elek2001,"Google scholar: carabid*, community, experiment","Z. Elek, T. Magura, B. Tothmeresz",2001,Impacts of non-native Norway spruce plantation on abundance and species richness of ground beetles (Coleoptera: Carabidae),Web Ecology,2,32,37,5,4,Y,"IndVal, a comparison that shows which species are associated with which habitat",species differed among habitats,Some species were more common in some habitats than others,"S, N,",
Enge1986,"Google scholar: lizard, burn, community","Kevin M. Enge, Wayne R. Marion",1986,Effects of clearcutting and site preparation on herpetofauna of a north Florida flatwoods,Forest Ecology and Management,14,177,192,3,2,N,N,N,"broad comparisons by taxa (num turtles, frogs, lizards), or by habitat (num arboreal, aquatic, cryptozoic)","S, N",
Greenberg1994,"Google scholar: lizard, burn, community","Cathryn H. Greenberg, Daniel G. Neary, Larry D. Harris",1994,Effect of high-intensity wildfire on silvicultural treatments on reptile communities in sand-pine scrub,Conservation Biology,8,1047,1057,4,3,,,,,,
Gruner2004,"Google scholar: spider, community, experiment",Daniel S. Gruner,2004,Attenuation of top-down and bottom-up forces in a complex terrestrial community,Ecology,85,3010,3022,8,3,,,,,,
